Source           Destination              Packets               Bytes
 156.36.200.98    168.162.189.39                 288              200750
 156.36.239.57    170.132.154.94               67294            57957738
 170.132.154.94   156.36.239.57                42121             9293530
 100.120.138.212  156.36.230.153                   1                  56
 170.135.2.10     208.238.11.150                 319               46612
 208.238.11.150   170.135.2.10                   364              324467
 170.135.2.11     208.238.11.150                7388             1033879
 208.238.11.150   170.135.2.11                  9346            10364051
 156.36.169.76    170.132.25.227                 244              155690
 170.132.25.227   156.36.169.76                  222               51790
 170.132.66.101   156.36.198.250               18393            19836354
 156.36.198.250   170.132.66.101               12624             3961314
 156.36.217.170   147.249.46.2              31180531          3601698040
 147.249.46.2     156.36.217.170            46620984          3872927768
 156.36.239.51    170.132.154.94               35633            10913340
 170.132.154.94   156.36.239.51                26275             5489533
 170.135.199.195  208.238.11.146                3673              164022
 208.238.11.146   170.135.199.195               3678              176011
 156.36.169.75    170.132.25.226                1757             1009147
 170.132.25.226   156.36.169.75                 1334              513862
 168.162.95.146   156.36.200.39               141455            94375892
 156.36.200.39    168.162.95.146              120252            60741702
 100.120.134.34   170.135.199.195                  3                 168
 168.162.64.242   170.135.199.195                 66               24173
 170.135.199.195  168.162.64.242                  91               11073
 170.135.2.10     156.55.84.75              25955240          1429445032
 156.55.84.75     170.135.2.10              49753602            91467080
 168.162.95.146   156.36.200.38                59089            33829773
 156.36.200.38    168.162.95.146               45440            12502549
 170.135.2.11     172.16.3.10               72553648          3937604205
 156.36.178.86    170.132.235.10               27096             3985116
 170.132.235.10   156.36.178.86                15865              967121
 10.0.208.96      170.135.199.195              20606             1153936
 170.132.50.161   170.135.199.195            2136090           917219574
 168.162.95.146   156.36.152.114                  26               12916
 156.36.152.114   168.162.95.146                  24                4490
 168.162.95.146   156.36.200.32                62923            36125943
 156.36.200.32    168.162.95.146               48623            13601779
 170.132.50.161   170.135.2.11             134340027           610832971
 156.36.168.23    156.55.84.98                 14568             1967736
 156.55.84.98     156.36.168.23                14903             7155940
 170.132.25.132   170.135.199.195            2492497          1907159658
 170.135.199.195  170.132.25.132             2417803          1778098828
 156.55.84.100    156.36.168.23                  201               68647
 156.36.168.23    156.55.84.100                  221               43753
 170.135.199.195  172.16.3.10                2397502           284967923
 170.132.238.73   170.135.199.195                 38               25197
 170.135.199.195  170.132.238.73                  40                2480
 170.132.14.4     156.36.198.250             2699875           154287367
 156.36.198.250   170.132.14.4               5144860          2060617754
 156.36.205.21    168.162.95.148             1048310            62861392
 168.162.95.148   156.36.205.21              1911853          2478448159
 170.132.24.98    156.36.222.144              377647           468711348
 156.36.222.144   170.132.24.98               347942            15310228
 170.132.238.74   170.135.199.195                 36               23412
 170.135.199.195  170.132.238.74                  40                2480
 168.162.178.66   156.36.178.86                    2                  92
 156.36.178.86    168.162.178.66                   4                 180
 156.36.205.20    168.162.95.146             1797303           112713426
 168.162.95.146   156.36.205.20              3189455          4085050600
 156.36.239.228   170.132.26.47                    7                 292
 170.132.26.47    156.36.239.228                   7                 298
 168.162.95.146   156.36.200.31                57999            31950791
 156.36.200.31    168.162.95.146               45754            12622790
 156.36.239.227   170.132.26.48                 1610              143908
